"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\ContactMain.css", "CSS", 0, 168, 0, 30, 198
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\ContactMain.jsx", "JavaScript JSX", 205, 0, 2, 26, 233
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\MapContact.jsx", "JavaScript JSX", 28, 0, 1, 8, 37
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\OneButton.css", "CSS", 0, 99, 0, 13, 112
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\OneButton.jsx", "JavaScript JSX", 21, 0, 1, 6, 28
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\OneTrainer.jsx", "JavaScript JSX", 15, 0, 1, 4, 20
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\KONTAKT\SocialButton.jsx", "JavaScript JSX", 10, 0, 1, 4, 15
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\LOGIN\LoginPage.css", "CSS", 0, 156, 0, 31, 187
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\LOGIN\LoginPage.jsx", "JavaScript JSX", 157, 0, 8, 23, 188
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\MainVideo.css", "CSS", 0, 57, 0, 9, 66
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\MainVideo.jsx", "JavaScript JSX", 53, 0, 0, 9, 62
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\NavItems.jsx", "JavaScript JSX", 78, 0, 1, 4, 83
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\Navbar.css", "CSS", 0, 332, 0, 72, 404
